x1,x2,y1,y2
-2.73614,-2.75425,-0.95464,-0.68022
-2.75425,-2.76928,-0.68022,-0.40562
-2.76928,-2.77773,-0.40562,-0.13076
-2.77773,-2.77471,-0.13076,0.14415
-2.77471,-2.75628,0.14415,0.41841
-2.75628,-2.72168,0.41841,0.69113
-2.72168,-2.67434,0.69113,0.96199
-2.67434,-2.62101,0.96199,1.23179
-2.62101,-2.57015,1.23179,1.50204
-2.57015,-2.53071,1.50204,1.7741
-2.53071,-2.51169,1.7741,2.04814
-2.51169,-2.52196,2.04814,2.32237
-2.52196,-2.56886,2.32237,2.59245
-2.56886,-2.64671,2.59245,2.83045
-2.64671,-2.74975,2.83045,3.04425
-2.74975,-2.87939,3.04425,3.25039
-2.87939,-3.04323,3.25039,3.46498
-3.04323,-3.22333,3.46498,3.67215
-3.22333,-3.41205,3.67215,3.87174
-3.41205,-3.60602,3.87174,4.06628
-3.60602,-3.62405,4.06628,4.08407
-2.09253,-2.09253,-4.08407,-4.08407
-2.09253,-1.87752,-4.08407,-3.9128
-1.87752,-1.65502,-3.9128,-3.75152
-1.65502,-1.42254,-3.75152,-3.60511
-1.42254,-1.17818,-3.60511,-3.47979
-1.17818,-0.92185,-3.47979,-3.38151
-0.92185,-0.65564,-3.38151,-3.31472
-0.65564,-0.38326,-3.31472,-3.28027
-0.38326,-0.1086,-3.28027,-3.27464
-0.1086,0.1659,-3.27464,-3.28956
0.1659,0.43996,-3.28956,-3.31248
0.43996,0.71446,-3.31248,-3.3263
0.71446,0.98819,-3.3263,-3.31015
0.98819,1.23814,-3.31015,-3.25217
1.23814,1.44394,-3.25217,-3.16623
1.44394,1.64729,-3.16623,-3.05025
1.64729,1.87601,-3.05025,-2.89765
1.87601,2.1036,-2.89765,-2.74328
2.1036,2.3388,-2.74328,-2.60118
2.3388,2.58697,-2.60118,-2.48398
2.58697,2.8494,-2.48398,-2.40568
2.8494,3.08107,-2.40568,-2.38157
3.08107,3.2815,-2.38157,-2.39842
3.2815,3.46471,-2.39842,-2.4461
3.46471,3.64292,-2.4461,-2.52084
3.64292,3.83043,-2.52084,-2.62579
3.83043,4.04061,-2.62579,-2.7691
4.04061,4.08407,-2.7691,-2.80066
-1.80803,-1.80803,-4.08407,-4.08407
-1.80803,-1.56417,-4.08407,-3.95747
-1.56417,-1.31063,-3.95747,-3.85176
