x1,x2,y1,y2
-3.38337,-3.16354,2.4015,2.38011
-3.16354,-2.94129,2.38011,2.39153
-2.94129,-2.70168,2.39153,2.43289
-2.70168,-2.43607,2.43289,2.50344
-2.43607,-2.17447,2.50344,2.58816
-2.17447,-1.91471,2.58816,2.67848
-1.91471,-1.65476,2.67848,2.76826
-1.65476,-1.39308,2.76826,2.85278
-4.08407,-4.08407,2.45955,2.45955
-4.08407,-3.86966,2.45955,2.28823
-3.86966,-3.63191,2.28823,2.15227
-3.63191,-3.40376,2.15227,2.07509
-3.40376,-3.19304,2.07509,2.04681
-3.19304,-2.98625,2.04681,2.05376
-2.98625,-2.76825,2.05376,2.09097
-2.76825,-2.5227,2.09097,2.15947
-2.5227,-2.26341,2.15947,2.25088
-4.08407,-4.08407,2.17504,2.17504
-4.08407,-3.88194,2.17504,1.98922
-3.88194,-3.65617,1.98922,1.83385
-3.65617,-3.65617,1.83385,1.83385
-3.65617,-3.46617,1.83385,1.74813
-3.46617,-3.26223,1.74813,1.701
-3.26223,-3.07029,1.701,1.69552
-3.07029,-2.87733,1.69552,1.72186
-2.87733,-2.6677,1.72186,1.77834
-2.6677,-2.4218,1.77834,1.86944
-2.4218,-2.1693,1.86944,1.97831
-2.1693,-1.91854,1.97831,2.09124
-1.91854,-1.66669,2.09124,2.20168
-1.66669,-1.41179,2.20168,2.3048
-1.41179,-1.15267,2.3048,2.39665
-1.15267,-0.88884,2.39665,2.47381
-0.88884,-0.62052,2.47381,2.53329
-0.62052,-0.34854,2.53329,2.57264
-0.34854,-0.07433,2.57264,2.5901
-0.07433,0.2004,2.5901,2.58491
0.2004,0.47379,2.58491,2.55729
0.47379,0.74424,2.55729,2.50849
0.74424,1.01058,2.50849,2.4406
1.01058,1.27225,2.4406,2.35632
1.27225,1.52935,2.35632,2.25884
1.52935,1.78265,2.25884,2.15183
1.78265,2.03371,2.15183,2.03956
2.03371,2.28486,2.03956,1.92752
2.28486,2.53935,1.92752,1.82355
