x1,x2,y1,y2
2.77492,2.8445,-3.88249,-3.69234
2.8445,2.94434,-3.69234,-3.52159
2.94434,3.0778,-3.52159,-3.35246
3.0778,3.25518,-3.35246,-3.16995
3.25518,3.45959,-3.16995,-2.98608
3.45959,3.66987,-2.98608,-2.80883
3.66987,3.88118,-2.80883,-2.63281
3.02856,3.02856,-4.08407,-4.08407
3.02856,3.02856,-4.08407,-4.08407
3.02856,3.02856,-4.08407,-4.08407
3.02856,3.12301,-4.08407,-3.88656
3.12301,3.24512,-3.88656,-3.70835
3.24512,3.40582,-3.70835,-3.52385
3.40582,3.60283,-3.52385,-3.33218
3.60283,3.80902,-3.33218,-3.15024
3.80902,4.01887,-3.15024,-2.97248
4.01887,4.08407,-2.97248,-2.91774
3.31306,3.31306,-4.08407,-4.08407
3.31306,3.47312,-4.08407,-3.86134
3.47312,3.65025,-3.86134,-3.66711
3.65025,3.84934,-3.66711,-3.47752
3.84934,4.05576,-3.47752,-3.29582
4.05576,4.08407,-3.29582,-3.27154
-3.11105,-3.14506,4.08407,4.0194
-3.14506,-3.29224,4.0194,3.78847
-3.29224,-3.47157,3.78847,3.58057
-3.47157,-3.66856,3.58057,3.38887
-3.66856,-3.87448,3.38887,3.20662
-3.87448,-4.08407,3.20662,3.02856
-4.08407,-4.08407,3.02856,3.02856
-2.91039,-2.91249,4.08407,4.07619
-2.91249,-2.98625,4.07619,3.87322
-2.98625,-3.09288,3.87322,3.69044
-3.09288,-3.09288,3.69044,3.69044
-3.09288,-3.26448,3.69044,3.47639
-3.26448,-3.45844,3.47639,3.28172
-3.45844,-3.66365,3.28172,3.09871
-3.66365,-3.87358,3.09871,2.92105
-3.87358,-4.08407,2.92105,2.74405
-4.08407,-4.08407,2.74405,2.74405
-2.89852,-2.89852,3.59584,3.59584
-2.89852,-3.05948,3.59584,3.3742
-3.05948,-3.24939,3.3742,3.17576
-3.24939,-3.45353,3.17576,2.9916
-3.45353,-3.66372,2.9916,2.81426
-3.66372,-3.87505,2.81426,2.63826
-3.87505,-4.08407,2.63826,2.45955
-4.08407,-4.08407,2.45955,2.45955
-3.04388,-3.24639,3.07366,2.88779
-3.24639,-3.45675,2.88779,2.71066
-3.45675,-3.66902,2.71066,2.53579
-3.66902,-3.87919,2.53579,2.35844
-3.87919,-4.08407,2.35844,2.17504
-4.08407,-4.08407,2.17504,2.17504
-3.0453,-3.25572,2.79027,2.61324
-3.25572,-3.46899,2.61324,2.43959
-3.46899,-3.68045,2.43959,2.26377
-3.68045,-3.88655,2.26377,2.08176
-3.88655,-4.08407,2.08176,1.89054
-4.08407,-4.08407,1.89054,1.89054
-3.06469,-3.27897,2.52524,2.35285
-3.27897,-3.49186,2.35285,2.17876
-3.49186,-3.69937,2.17876,1.99836
-3.69937,-3.89795,1.99836,1.80826
-3.89795,-4.08407,1.80826,1.60603
-4.08407,-4.08407,1.60603,1.60603
-3.10398,-3.31837,2.27849,2.10624
-3.31837,-3.52743,2.10624,1.92766
-3.52743,-3.7273,1.92766,1.73893
-3.7273,-3.91417,1.73893,1.53742
-3.91417,-4.08407,1.53742,1.32153
-4.08407,-4.08407,1.32153,1.32153
-4.08407,-4.08407,-0.67001,-0.67001
-4.08407,-3.97297,-0.67001,-0.92095
-3.97297,-3.83278,-0.92095,-1.15698
-3.83278,-3.66813,-1.15698,-1.37679
-3.66813,-3.48374,-1.37679,-1.58048
-4.08407,-4.08407,-1.23902,-1.23902
-4.08407,-3.91991,-1.23902,-1.45926
-3.91991,-3.73733,-1.45926,-1.66463
-3.73733,-3.54047,-1.66463,-1.85645
-3.54047,-3.33321,-1.85645,-2.03712
-3.33321,-3.11949,-2.03712,-2.21017
-3.11949,-2.90368,-2.21017,-2.38064
-2.90368,-2.6917,-2.38064,-2.55574
-2.6917,-2.49423,-2.55574,-2.74648
-2.49423,-2.49423,-2.74648,-2.74648
-2.49423,-2.37003,-2.74648,-2.90454
-2.37003,-2.37003,-2.90454,-2.90454
-2.37003,-2.29116,-2.90454,-3.05331
-2.29116,-2.24536,-3.05331,-3.21807
-2.24536,-2.23518,-3.21807,-3.37349
-2.23518,-2.25113,-3.37349,-3.53441
-4.08407,-4.08407,-1.52352,-1.52352
-4.08407,-3.90212,-1.52352,-1.72948
-3.90212,-3.70647,-1.72948,-1.92256
-3.70647,-3.50077,-1.92256,-2.10499
-3.50077,-3.28862,-2.10499,-2.27996
-4.08407,-4.08407,-1.80803,-1.80803
-4.08407,-3.8894,-1.80803,-2.00212
-3.8894,-3.6851,-2.00212,-2.18614
